"L'ANONYME","917350","ALLARD, PATRICE","SOUTIEN TECHNIQUE DANS LE CADRE DE «LA NUIT DES SANS-ABRI» QUI S'EST TENUE À MONTRÉAL LE 23-11-2013","SERVICE DE LA QUALITÉ DE VIE","DÉVELOPPEMENT SOCIAL","2 000 $ "
"LASALLE DODGE CHRYSLER JEEP (DIVISION DE SANDHU MOTORS)","960570","TURGEON, FRANCOISE","ACQUISITION DE 5 VÉHICULES DE MARQUE DODGE, MODÈLE JOURNEY 2014.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","58 476 $ "
"LASALLE DODGE CHRYSLER JEEP (DIVISION DE SANDHU MOTORS)","960570","TURGEON, FRANCOISE","DEVIS 16414E11 - ACQUISITION DE 5 VÉHICULES DE MARQUE DODGE, MODÈLE JOURNEY 2014.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","51 916 $ "
"LASALLE DODGE CHRYSLER JEEP (DIVISION DE SANDHU MOTORS)","973437","CARETTE, CLAUDE","PROJET 59002 - AQUISITION D'UN CAMION DODGE DURANGO, VERSION SPÉCIAL -  SERVICE AWD - POUR EFFECTUER LA SURVEILLANCE DE LA SIGNALISATION & LA CIRCULATION DES CHANTIERS.","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","CONSTRUCTION D'INFRASTRUCTURES DE VOIRIE","38 222 $ "
"L'ASSOCIATION CANADIENNE DES SCIENCES GEOMATIQUES (ACSG)","892153","PELLERIN, JEAN","INSCRIPTIONS AU CONGRÈS GÉOMATIQUE 2013","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","3 541 $ "
"LATEC INSTRUMENTS INC.","939403","LIMPERIS, APOSTOLOS MARIO","LVR -RE-INSTALLATION","SERVICE DE LA QUALITÉ DE VIE","GESTION INSTALL. - ARÉNAS ET PATINOIRES","9 593 $ "
"LAURENCE GAGNON","959435","LANGLOIS, PAUL","CACHET POUR CONCEPTION DES COSTUMES DE LA PIÈCE ""JACK ET LE HARICOT MAGIQUE"" À LA ROULOTTE","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","3 664 $ "
"LAURENT DESIGN ENR.","908998","RENAUD, LYSE","EMONDAGE ET DÉGAGEMENT DE LA STRUCTURE 81-5070.","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","5 994 $ "
"LAURENT PINABEL","968485","LECLERC, JEAN-FRANCOIS","DÉCLINAISONS DU VISUEL SUR DES AFFICHES, CARTON, AFFICHE SIGNALÉTIQUES, BANNIÈRES WEB, T-SHIRT","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","2 904 $ "
"LAURIANE AYIVI","888140","LEFEBVRE, MARTIN","RÉDACTION WEB","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","9 520 $ "
"LAURIN INC","ROS747343","BRANCONNIER, SERGE","ACHATS DE CONTENEUR POUR CARROSSERIE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","5 574 $ "
"L'AUTRE ATELIER","920234","CHARPENTIER, ANNE","MAMROT 13 101142 / CAGE POUR CHRYSALIDES ET CAGE POUR COCONS / SOUMISSION 35 / BON DE COMMANDE À 50%","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","8 050 $ "
"L'AUTRE ATELIER","920234","CHARPENTIER, ANNE","MAMROT 13 101142 / CAGE POUR CHRYSALIDES ET CAGE POUR COCONS / SOUMISSION 35 / BON DE COMMANDE À 50%","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","8 050 $ "
"LAVAGE DE VITRES FUTURE INC.","908874","KERR, NATASHA","LAVAGE DE VITRES - BÂTIMENT PRINCIPAL","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 000 $ "
"LAVALTRAC EQUIPEMENT","DIC731217","BLOUIN, BERTRAND","RE539762    BLOC POUR VISE SEPARATEUR D'EAU","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 297 $ "
"LAVALTRAC EQUIPEMENT","921694","PERRON, SYLVIE","RÉPARATION DE GATORS","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 107 $ "
"LE BARRICADEUR","896835","THIFFAULT, YVAN","MENUISERIE (BARRICADAGE FAIT AU 7118, 14E AVENUE (BÂTIMENT PRIVÉ), EFFECTUÉS EN URGENCE LE 01-10-2013, LE BARRICADEUR) - TRUDEL, DANIEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 263 $ "
"LE BARRICADEUR","903355","THIFFAULT, YVAN","MENUISERIE (TRAVAUX DE BARRICADAGE EFFECTUÉS EN URGENCE À PLUSIEUR BÂTIMENTS PRIVÉS, LE BARRICADEUR) - TRUDEL, DANIEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 238 $ "
"LE BARRICADEUR","910974","NADEAU, MICHEL G","TRAVAUX DE NETTOYAGE & BARRICADAGE ET RÉPARATION DES CLÔTURES AU 77 RUE BERNARD","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","4 218 $ "
"LE BARRICADEUR","924455","FISET, DANIEL","LE BARRICADEUR -  DEMANDE DE BARRICADAGE AU 2089 AVENUE PAPINEAU - EN DATE DU 21 DÉCEMBRE 2013 -  DANIEL CHAMPAGNE C/M MENUISERIE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 207 $ "
"LE BARRICADEUR","946737","FISET, DANIEL","MENUISERIE (TRAVAUX DE BARRICADAGE EFFECTUÉS EN URGENCE À PLUSIEURS BÂTIMENTS PRIVÉS, LE BARRICADEUR) - TRUDEL, DANIEL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 045 $ "
"LE BARRICADEUR","947113","NADEAU, MICHEL G","NETTOYAGE, DÉGARNISSAGE DES MURS ET RAMASSAGE DES DÉBRIS DANS UNE PARTIE DU SOUS-SOL DU 3552 RUE ST-PATRICK DANS L'ARRONDISSEMENT SUD-OUEST. (RÉF: 31H05-005-7168-01, MANDAT 14-008-X)","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","2 702 $ "
"LE BARRICADEUR","951608","LEVESQUE, PIERRE","SOUMISSION DU 04-04-14 - CENTRE SNOWDON (8674) - 5225, BOUL. DÉCARIE - BARRICADER TOUTES LES OUVERTURES EN FAÇADE, CÔTÉ GAUCHE ET ARRIÈRE; BOUCHER LES ENDROITS DU BÉTON DÉCOLLÉ SUR LES MURETS - 1 SOUMISSION","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 998 $ "
"LE BARRICADEUR","964270","NADEAU, MICHEL G","NETTOYAGE DU LOT 1 382 623, SITUÉ DANS LE PARC D'ENTREPRISE DE LA POINTE-ST-CHARLES. (MANDAT 14-0127-X).","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","2 496 $ "
"LE CHÂTEAU INC.","RMI0000966800000991830004","DÉTAILS PROVENANT DU SYSTÊME DE GESTION DES RÉCLAMATIONS","LE CHÂTEAU INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 13-005338, SUR LA LISTE DE PAIEMENT 1403IC009 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","22 236 $ "
"LE CIRCUIT FORD LINCOLN LTEE","DIC741792","ALTIMAS, JOHN-PATRICK","REPARATION DE CAMIONNETTE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 170 $ "
"LE CIRCUIT FORD LINCOLN LTEE","CAR751304","BRANCONNIER, SERGE","DONNER P.O. POUR FACTURE FORD TRAVAIL HORS GARANTIE FACTURE PC46768","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS MRA - À RÉPARTIR","4 340 $ "
"LE COFFRE A OUTILS INC.","914363","LACOMBE, PIERRE","101144 / I. GIRARD / SOUFFLEUSE À NEIGE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 150 $ "
"LE CONSORTIUM ECHO-LOGIQUE INC","891184","CLOUTIER, SIMON","CARACTÉRISATION DES MATIÈRES RÉSIDUELLES AU JARDIN BOTANIQUE DANS LE CADRE DU VOLET ÉCORESPONSABLE DE MOSAÏCULTURES INTERNATIONALES MONTRÉAL 2013","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 555 $ "
"LE DEVOIR","967534","LAPOINTE, NORMAND","LE DEVOIR - PARUTION D'UNE ANNONCE POUR LES ASSISES DE L'UMQ.","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","2 859 $ "
"LE DEVOIR","951813","CHOQUET, JEAN-ROBERT","ACHAT DE PUBLICITÉ","SERVICE DE LA CULTURE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","2 859 $ "
"LE DEVOIR","876658","JUTRAS, PIERRE","FRAIS DE PUBLICATION DANS LE DEVOIR (NIKE LANGEVIN ET ANTHONY DANIEL)","SERVICE DE LA QUALITÉ DE VIE","HORTICULTURE ET ARBORICULTURE","11 547 $ "
"LE DEVOIR","896966","CHOQUET, JEAN-ROBERT","ACHAT DE PUBLICITÉ","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","2 870 $ "
"LE DEVOIR","920498","LACOMBE, PIERRE"," PLACEMENTS PUBLICITAIRES PLANÉTARIUM - ANNE-JOSÉE DIONNE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 200 $ "
"LE DEVOIR","898850","ADAM, RICHARD","ACHAT DE PUBLICITÉ","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","2 352 $ "
"LE DEVOIR","DE158007","JAMAL EDDINE, HALIMA","RÉF. 193 / PAPILLONS EN LIBERTÉ / PUBLICITÉ PARUE DANS LE DEVOIR.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 000 $ "
"LE DEVOIR","DE158842","LAPOINTE, JULIE","REF #298, PUB CAHIER CONSEIL DES ARTS","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 084 $ "
"LE DEVOIR","DE160069","LAPOINTE, JULIE","REF #482, PUB PLEINE PAGE PROGRAMMATION","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 000 $ "
"LE DEVOIR","961378","MARCOUX, ALAIN","CONTRAT DE GRÉ À GRÉ POUR DU PLACEMENT MÉDIA DANS LE CADRE DE L'ÉVÉNEMENT JARDINS EN LUMIÈRES AU JARDIN BOTANIQUE, POUR LA PÉRIODE DU 3 AU 30 SEPTEMBRE 2014 (AD #281296)","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","30 000 $ "
"LE DEVOIR","DE160279","LAPOINTE, JULIE","REF #496, PUB 17 MAI RVH","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 100 $ "
"LE DEVOIR","953701","SPANDONIDE, CAROLINE","PLACEMENT MÉDIA D'AVIS PUBLIC - APPEL D'OFFRES","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 013 $ "
"LE DEVOIR","960384","SPANDONIDE, CAROLINE","APPELS D'OFFRES 252312
DIRECTION DES INFRASTRUCTURES 
 FACTURE # DE159918 DU 05/05/2014 PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 501 $ "
"LE DEVOIR","963531","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","4 335 $ "
"LE DEVOIR","972034","SPANDONIDE, CAROLINE","APPELS D'OFFRES: DIRECTION DES INFRASTURCTURES (DIV. PONTS ET TUNNELS); AVIS PUBLIC: ALIÉNATION DE BIENS, ORDONNANCES, RÈGLEMENT (CONSEIL AGGLOMÉRATION, COMITÉ EXÉCUTIF).","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","3 572 $ "
"LE DEVOIR","970326","SPANDONIDE, CAROLINE","AVIS PUBLIC; RÈGLEMENT DU CONSEIL D'AGGLOMÉRATION; APPELS D'OFFRES: DIR.INFRASTRUCTURES; ENV; AVIS PUBLIC/CONSEIL MUNICIPAL.","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 964 $ "
"LE DEVOIR","973449","SPANDONIDE, CAROLINE","AVIS PUBLIC ORDANNCE 3: ACCÈS GRATUIT AUX INSTITUTIONS DE ESPACE POUR LA VIE; RÈGLEMENTS.APPELS D'OFFRES 259001, 296601","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 647 $ "
"LE DEVOIR","980808","SPANDONIDE, CAROLINE","AVIS PUBLIC: ALIÉNATION DE BIENS ET RÈGLEMENT  APPEL D'OFFRES:  DIRECTION DES INFRASTRUCTURES: DIVISION PONTS ET TUNNELS","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","3 332 $ "
"LE DEVOIR","889887","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","4 453 $ "
"LE DEVOIR","890369","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","13 631 $ "
"LE DEVOIR","893487","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 708 $ "
"LE DEVOIR","896416","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 150 $ "
"LE DEVOIR","907040","SPANDONIDE, CAROLINE","PLACEMENT MÉDIA OBLIGATOIRE - SITUATION FINANCIÈRE OCTOBRE 2013","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","25 106 $ "
"LE DEVOIR","923137","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 168 $ "
"LE DEVOIR","920407","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","4 570 $ "
"LE DEVOIR","916659","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","6 927 $ "
"LE DEVOIR","930053","SPANDONIDE, CAROLINE","PLACEMENT MÉDIA OBLIGATOIRE","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","4 717 $ "
"LE DEVOIR","935313","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 062 $ "
"LE DEVOIR","931606","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","5 998 $ "
"LE DEVOIR","940370","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 129 $ "
"LE DEVOIR","940498","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS PUBLICITAIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 074 $ "
"LE DEVOIR","942944","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES AVIS PUBLIC POUR BUDGET 2014","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","14 797 $ "
"LE DEVOIR","943340","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS OBLIGATOIRES","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","2 545 $ "
"LE DEVOIR","946622","SPANDONIDE, CAROLINE","PLACEMENT MÉDIA OBLIGATOIRE","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","3 224 $ "
"LE DEVOIR","947799","SPANDONIDE, CAROLINE","PLACEMENTS MÉDIAS. RÉSERVATION DE FONDS BUDGET 2014","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","7 615 $ "
"LE FLAG SHOP","940450","ADAM, RICHARD","INSPECTION ET RESTAURATION D'UNE SÉRIE DE BANNIÈRES","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","20 418 $ "
"LE GLACIER BILBOQUET INC.","10668","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 470 $ "
"LE GLACIER BILBOQUET INC.","10694","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 702 $ "
"LE GROUPE AGRITEX INC.","CAR736954","BRANCONNIER, SERGE","FRAIS DE PIÈCES ET MAIN D'OEUVRE POUR REBÂTIR DIFF AVANT DE TRACTEUR JOHN DEERE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 795 $ "
"LE GROUPE AGRITEX INC.","923351","DESJARDINS, DANIEL","BON DE COMMANDE OUVERT POUR L'ANNÉE 2014.  PIÈCES DE MÉCANIQUES ET D'OUTILLAGES POUR L'ÉQUIPEMENTS MOTORISÉS À LA PÉPINIÈRE.  CONTRAT NUMÉRO","SERVICE DE LA QUALITÉ DE VIE","HORTICULTURE ET ARBORICULTURE","7 260 $ "
"LE GROUPE AGRITEX INC.","926545","GAUDET, MARTIN","BROYEUR DE SOUCHE.","SERVICE DE LA QUALITÉ DE VIE","HORTICULTURE ET ARBORICULTURE","6 832 $ "
"LE GROUPE AGRITEX INC.","CAR741268","BRANCONNIER, SERGE","FRAIS DE PIÈCES ET MAIN D'OEUVRE POUR RÉPARER DIFFÉRENTIEL DE TRACTEUR JOHN DEERE DE L'ARRONDISSEMENT VILLERAY ST-MICHEL","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","10 134 $ "
"LE GROUPE BELLON PRESTIGE INC.","42019","PATENAUDE, NICOLE","BC 203914 - ABRI D'HIVER","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 766 $ "
"LE GROUPE BELLON PRESTIGE INC.","947226","VINCENT, GILLES","REMPLACEMENT DE L'AUVENT DU COMPLEXE D'ACCEUIL AU DESSUS DES COMPTOIRS DE L'INSECTARIUM","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 867 $ "
"LE GROUPE CREATECH","941981","LABELLE, MARC-ANDRÉ","CRÉATECH NOUS ASSISTE DANS L'ÉVALUATION D'ESTIMÉS BUDGÉTAIRES CONCERNANT LE DÉMÉNAGEMENT.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 204 $ "
"LE GROUPE GENINOV INC.","917401","LUU, VINH","INSPECTION DES PUITS D'ACCÈS PAR CAMÉRA","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","7 478 $ "
"LE GROUPE GENINOV INC.","952551","LUU, VINH","SERVICES PROFESSIONNELS JUSQU'À CONCURRENCE D'UNE DÉPENSE DE 72 055.62 $ INCLUANT LES TAXES POUR LES SURVEILLANCE DES TRAVAUX : CONTRAT 1195 - MANDAT 1541","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","63 066 $ "
"LE GROUPE J.S.V. INC","887053","CARDINAL, MARIE-JOSEE","LOUVAIN - RE-APPRO 2013","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","OUTILLAGE ET MACHINERIE","4 249 $ "
"LE GROUPE J.S.V. INC","890207","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","OUTILLAGE ET MACHINERIE","3 067 $ "
"LE GROUPE J.S.V. INC","864690-18","LABELLE, MARC-ANDRÉ","PEFV,A,PEINTURE EN AEROSOL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","CONSTRUCTION","2 136 $ "
"LE GROUPE J.S.V. INC","ROS729018","LESSARD, SIMON","1-KD CADENAS MASTER LOCK","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 203 $ "
"LE GROUPE J.S.V. INC","864690-40","COUTU, JESSICA","PEFV,A,PEINTURE EN AEROSOL","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","CONSTRUCTION","2 327 $ "
"LE GROUPE J.S.V. INC","864690-54","COUTU, JESSICA","PEINTURE EN AEROSOL","SERVICE DE L'APPROVISIONNEMENT","CONSTRUCTION","3 932 $ "
"LE GROUPE J.S.V. INC","864690-63","BERTRAND, RICHARD","PEFV,A,PEINTURE EN AEROSOL","SERVICE DE L'APPROVISIONNEMENT","CONSTRUCTION","2 925 $ "
"LE GROUPE J.S.V. INC","864690-63","BERTRAND, RICHARD","PEFV,A,PEINTURE EN AEROSOL","SERVICE DE L'APPROVISIONNEMENT","TRAVAUX PUBLICS, AMÉNAGEMENT EXTÉRIEUR","2 115 $ "
"LE GROUPE KLODA FOCUS INC","889175","LANGLOIS, PAUL","LOCATION D'ÉQUIPEMENT AUDIO VISUEL POUR LE THÉÂTRE DE VERDURE","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","9 815 $ "
"LE GROUPE KLODA FOCUS INC","903183","CHOQUET, JEAN-ROBERT","LOCATION D'ÉQUIPEMENT DE SONORISATION DANS LE CADRE DE L'ÉVÉNEMENT CENTRAIDE","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","2 068 $ "
"LE GROUPE MASTER S.E.C.","886831","THIFFAULT, YVAN","VCR - RÉRIGÉRANT 22 - POUR BILL DURNUN - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 574 $ "
"LE GROUPE MASTER S.E.C.","901255","THIFFAULT, YVAN","VCR, BAT 4397 ATELIER, POUR NOUVEAU CAMION, DESTECT FUITE ECT..PLOURDE DOMINIC","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 542 $ "
"LE GROUPE MASTER S.E.C.","905655","FISET, DANIEL","VCR - RÉFRIGÉRANT - POUR DIVERS BÂTIMENTS - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","7 038 $ "
"LE GROUPE MASTER S.E.C.","916531","THIFFAULT, YVAN","CHAUFFAGE (TNC 92455, ACHAT DE FOURNAISES POUR L'ÉDIFICE DE LA COUR POINCARÉ #0490, LE GROUPE MASTER S.E.C.) - LYNCH, RENÉ","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 845 $ "
"LE GROUPE MASTER S.E.C.","922237","FISET, DANIEL","VCR - COUSSIN, CLÉ... - POUR LE GARAGE ET CAMION - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 529 $ "
